"variable","label"
"kpa5_810","Verantwortlichkeit allgemeine wirtschaftliche Lage"
"kpa5_830","Allgemeine wirtschaftliche Lage, prospektiv"
"kpa5_050a","Efficacy: Die Politiker kuemmern sich darum, was einfache Leute denken."
"kpa5_050e","Efficacy: Die Politiker bemuehen sich um einen engen Kontakt zur Bevoelkerung."
"kpa5_050h","Efficacy: Traue zu, mich an Gespraech ueber politische Fragen zu beteiligen"
"kpa5_050k","Efficacy: Wichtige politische Fragen kann ich gut verstehen und einschaetzen."
"kpa5_050l","Wahlnorm: Pflicht der Buerger, sich an Wahlen zu beteiligen"
"kpa5_1500","Links-Rechts-Selbsteinstufung"
"kpa5_1090","Sozio-oekonomische Dimension, Ego"
"kpa5_1130","Zuzugsmoeglichkeiten Auslaender, Ego"
"kpa5_1290","Klimaschutz, Ego"
"kpa5_1200","Sanktionen gegen Russland, Ego"
"kpa5_060e","Extremismus/Autoritarismus: Unter Umstaenden ist Diktatur bessere Staatsform"
"kpa5_060f","Extremismus/Autoritarismus: Die DDR hatte mehr gute als schlechte Seiten"
"kpa5_060g","Extremismus/Autoritarismus: Sozialismus gute, bisher schlecht ausgefuehrte Idee"
"kpa5_060l","Extremismus/Autoritarismus: Entscheidungen sollen von Experten getroffen werden"
"kpa5_060i","Extremismus/Autoritarismus: Unruhestifter sollten Unerwuenschtheit spueren"
"kpa5_060h","Extremismus/Autoritarismus: Welt waere besser, wenn Menschen wie Deutsche waeren"
"kpa5_060j","Extremismus/Autoritarismus: Brauchen starke Fuehrungspersonen,um sicher zu leben"
"kpa5_2880be","Kontrollitem: Bitte klicken Sie hier 'stimme eher nicht zu' an"
"kpa5_060b","Extremismus/Autoritarismus: Wichtigsten Unternehmen sollen verstaatlicht werden"
"kpa5_060d","Extremismus/Autoritarismus: Gruppen-, Verbandsinteressen Allg.wohl unterordnen"
"kpa5_1260","Globalisierung, Ego"
"kpa5_1590","Positionsissue: Geschlechtergleichstellung, Ego"
"kpa5_1250","Europaeische Integration, Ego"
"kpa5_160a","Institutionenvertrauen: Bundestag"
"kpa5_160c","Institutionenvertrauen: Bundesregierung"
"kpa5_160b","Institutionenvertrauen: Bundesverfassungsgericht"
"kpa5_160j","Institutionenvertrauen: Bundeswehr"
"kpa5_160p1","Institutionenvertrauen: oeffentlich-rechtlicher Rundfunk"
"kpa5_160p2","Institutionenvertrauen: soziale Medien"
"kpa5_160q","Institutionenvertrauen: Polizei"
"kpa5_160r","Institutionenvertrauen: Wissenschaft"
"kpa5_430c","Skalometer Parteien: SPD"
"kpa5_430a","Skalometer Parteien: CDU"
"kpa5_430b","Skalometer Parteien: CSU"
"kpa5_430e","Skalometer Parteien: GRUENE"
"kpa5_430d","Skalometer Parteien: FDP"
"kpa5_430i","Skalometer Parteien: AfD"
"kpa5_430f","Skalometer Parteien: DIE LINKE"
"kpa5_430m","Skalometer Parteien: BSW"
"kpa5_5021","Unterschied Parteien"
"kpa5_730","Skalometer Regierung"
"kpa5_731d","Skalometer Regierungsparteien: SPD"
"kpa5_731f","Skalometer Regierungsparteien: GRUENE"
"kpa5_731e","Skalometer Regierungsparteien: FDP"
"kpa5_5020","Unterschied Regierung"
"kpa5_3103a","Populismus: Politiker reden zu viel und handeln zu wenig."
"kpa5_3103b","Populismus: Die normalen Buerger verbindet ein guter und ehrlicher Charakter."
"kpa5_3103c","Populismus: Volksabstimmung bei wichtigen pol. Sachfragen als letztes Wort"
"kpa5_3103d","Populismus: Die normalen Buerger ziehen an einem Strang."
"kpa5_3103e","Populismus: Unterschiede zwischen Volk und Elite sind viel groesser"
"kpa5_3103f","Populismus: Das Volk sollte die wichtigsten politischen Entscheidungen treffen"
"kpa5_3103g","Populismus: Die Politiker im Parlament muessen dem Willen des Volkes folgen."
"kpa5_3103h","Populismus: Die normalen Buerger teilen die gleichen Werte und Interessen."
"kpa5_650h2","Skalometer Politiker: Alice Weidel"
"kpa5_650o1","Skalometer Politiker: Olaf Scholz"
"kpa5_650l1","Skalometer Politiker: Robert Habeck"
"kpa5_650m2","Skalometer Politiker: Boris Pistorius"
"kpa5_650s","Skalometer Politiker: Christian Lindner"
"kpa5_650x1","Skalometer Politiker: Friedrich Merz"
"kpa5_650y","Skalometer Politiker: Sahra Wagenknecht"
"kpa5_650k1","Skalometer Politiker: Markus Soeder"
"kpa5_2780","Recall Wahlbeteiligung BTW 2021"
"kpa5_350aa","Recall vorangegangene BTW: Erststimme (Version A)"
"kpa5_350ab","Recall vorangegangene BTW: Erststimme  (Version B)"
"kpa5_350ba","Recall vorangegangene BTW: Zweitstimme (Version A)"
"kpa5_350bb","Recall vorangegangene BTW: Zweitstimme (Version B)"
"kpa5_090","Politisches Wissen: 5%-Klausel"
"kpa5_090_v1","Politisches Wissen: 5%-Klausel (Dummy Richtig/Falsch)"
"kpa5_110","Politisches Wissen: Erst-/Zweitstimme"
"kpa5_130","Politisches Wissen: Wahlrecht D"
"kpa5_1632","Private Internetnutzung, Haeufigkeit"
"kpa5_1621a","Wichtigste Informationsquelle, gewoehnlich: Fernsehen"
"kpa5_1621b","Wichtigste Informationsquelle, gewoehnlich: Zeitung"
"kpa5_1621c","Wichtigste Informationsquelle, gewoehnlich: Radio"
"kpa5_1621g","Wichtigste Informationsquelle, gewoehnlich: soziale Medien (z.B. Facebook, X/Twi"
"kpa5_1621i","Wichtigste Informationsquelle, gewoehnlich: Podcast"
"kpa5_1621h","Wichtigste Informationsquelle, gewoehnlich: andere Internetanbieter (z. B. E-Mai"
"kpa5_1621e","Wichtigste Informationsquelle, gewoehnlich: persoenliche Gespraeche"
"kpa5_1621f","Wichtigste Informationsquelle, gewoehnlich: andere Quelle"
"kpa5_1600","Internetnutzung, politisch aktuell"
"kpa5_2090a","Parteiidentifikation (Version A)"
"kpa5_2090b","Parteiidentifikation (Version B)"
"kpa5_2100","Parteiidentifikation, Staerke"
"kpa5_2095a","Multiple Parteiidentifikation (Version A)"
"kpa5_2095b","Multiple Parteiidentifikation (Version B)"
"kpa5_2101","Multiple Parteiidentifikation, Staerke"
"kpa5_2441","Haushaltsgroesse"
"kpa5_2450","Anzahl Haushaltsmitglieder unter 18  Jahre"
"kpa5_2301","Familienstand"
"kpa5_2311","Partner vorhanden"
"kpa5_2312","Partner im Haushalt"
"kpa5_2330","Berufliche Bildung"
"kpa5_2340","Erwerbstaetigkeit"
"kpa5_2350","Fruehere Erwerbstaetigkeit"
"kpa5_2371","Dauer Arbeitslosigkeit"
"kpa5_2380","Beruf"
"kpa5_3610","Angestellter - Differenzierung"
"kpa5_3620","Arbeiter - Differenzierung"
"kpa5_3630","Akademisch freier Beruf, Selbstaendiger - Differenzierung"
"kpa5_3640","Beamter - Differenzierung"
"kpa5_3650","Beschaeftigungssektor"
"kpa5_3660","Wirtschaftssektor"
"kpa5_3670","Zeit/Leiharbeit"
"kpa5_3680","Angst Stellenverlust"
"kpa5_3690","Angst Betriebsverlust"
"kpa5_2390","Frueherer Beruf"
